药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
0,香附 紫苏梗,香附,平,"辛,苦,甘","肝,脾,三焦",紫苏梗,温,辛,"肺,脾"
1,檀香 香附,檀香,温,辛,"脾,胃,心,肺",香附,平,"辛,苦,甘","肝,脾,三焦"
2,半夏 陈皮,半夏,温,辛,"脾,胃,肺",陈皮,温,"苦,辛","肺,脾"
3,陈皮 木香,陈皮,温,"苦,辛","肺,脾",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
4,艾叶 香附,艾叶,温,"辛,苦","肝,脾,肾",香附,平,"辛,苦,甘","肝,脾,三焦"
5,当归 香附,当归,温,"甘,辛","肝,心,脾",香附,平,"辛,苦,甘","肝,脾,三焦"
6,陈皮 生姜,陈皮,温,"苦,辛","肺,脾",生姜,温,辛,"肺,脾,胃"
7,香附 延胡索,香附,平,"辛,苦,甘","肝,脾,三焦",延胡索,温,"辛,苦","肝,脾"
8,川楝子 香附,川楝子,寒,苦,"肝,小肠,膀胱",香附,平,"辛,苦,甘","肝,脾,三焦"
9,陈皮 桑白皮,陈皮,温,"苦,辛","肺,脾",桑白皮,寒,甘,肺
10,陈皮 竹茹,陈皮,温,"苦,辛","肺,脾",竹茹,寒,甘,"脾,肺,胃,心,胆"
11,白芍 香附,白芍,寒,"苦,酸","肝,脾",香附,平,"辛,苦,甘","肝,脾,三焦"
12,瓜蒌 薤白,瓜蒌,寒,"甘,苦","肺,胃,大肠",薤白,温,"辛,苦","心,肺,胃,大肠"
13,陈皮 青皮,陈皮,温,"苦,辛","肺,脾",青皮,温,"苦,辛","肝,胆,胃"
14,川楝子 小茴香,川楝子,寒,苦,"肝,小肠,膀胱",小茴香,温,辛,"肝,肾,脾,胃"
15,木香 香附,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",香附,平,"辛,苦,甘","肝,脾,三焦"
16,乌药 香附,乌药,温,辛,"肺,脾,肾,膀胱",香附,平,"辛,苦,甘","肝,脾,三焦"
17,川楝子 延胡索,川楝子,寒,苦,"肝,小肠,膀胱",延胡索,温,"辛,苦","肝,脾"
18,木香 乌药,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",乌药,温,辛,"肺,脾,肾,膀胱"
19,沉香 木香,沉香,温,"辛,苦","脾,胃,肾",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
20,沉香 乌药,沉香,温,"辛,苦","脾,胃,肾",乌药,温,辛,"肺,脾,肾,膀胱"
21,郁金 枳壳,郁金,寒,"辛,苦","肝,心,肺",枳壳,寒,"苦,辛,酸","脾,胃"
22,沉香 丁香,沉香,温,"辛,苦","脾,胃,肾",丁香,温,辛,"脾,胃,肺,肾"
23,大黄 木香,大黄,寒,苦,"脾,胃,大肠,肝,心包",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
24,槟榔 木香,槟榔,温,"苦,辛","胃,大肠",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
25,黄连 香附,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",香附,平,"辛,苦,甘","肝,脾,三焦"
26,沉香 香附,沉香,温,"辛,苦","脾,胃,肾",香附,平,"辛,苦,甘","肝,脾,三焦"
27,木瓜 木香,木瓜,温,酸,"肝,脾",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
28,莱菔子 木香,莱菔子,平,"辛,甘","肺,脾,胃",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
29,香附 枳壳,香附,平,"辛,苦,甘","肝,脾,三焦",枳壳,寒,"苦,辛,酸","脾,胃"
30,木香 枳壳,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",枳壳,寒,"苦,辛,酸","脾,胃"
31,砂仁 香橼,砂仁,温,辛,"脾,胃,肾",香橼,温,"辛,苦,酸","肝,脾,肺"
32,陈皮 枳壳,陈皮,温,"苦,辛","肺,脾",枳壳,寒,"苦,辛,酸","脾,胃"
33,赤芍 香附,赤芍,寒,苦,肝,香附,平,"辛,苦,甘","肝,脾,三焦"
34,蒲黄 香附,蒲黄,平,甘,"肝,心包",香附,平,"辛,苦,甘","肝,脾,三焦"
35,天南星 香附,天南星,温,"苦,辛","肺,肝,脾",香附,平,"辛,苦,甘","肝,脾,三焦"
36,天南星 枳壳,天南星,温,"苦,辛","肺,肝,脾",枳壳,寒,"苦,辛,酸","脾,胃"
37,瓜蒌 枳壳,瓜蒌,寒,"甘,苦","肺,胃,大肠",枳壳,寒,"苦,辛,酸","脾,胃"
38,乳香 枳壳,乳香,温,"辛,苦","心,肝,脾",枳壳,寒,"苦,辛,酸","脾,胃"
39,川芎 枳壳,川芎,温,辛,"肝,胆,心包",枳壳,寒,"苦,辛,酸","脾,胃"
40,生地黄 枳壳,生地黄,寒,甘,"心,肝,肾",枳壳,寒,"苦,辛,酸","脾,胃"
41,天冬 乌药,天冬,寒,"甘,苦","肺,肾",乌药,温,辛,"肺,脾,肾,膀胱"
42,附子 木香,附子,热,"辛,甘","心,肾,脾",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
43,槟榔 陈皮,槟榔,温,"苦,辛","胃,大肠",陈皮,温,"苦,辛","肺,脾"
44,茯苓 木香,茯苓,平,"甘,","心,肺,脾,肾",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
45,夏枯草 香附,夏枯草,寒,"辛,苦","肝,胆",香附,平,"辛,苦,甘","肝,脾,三焦"
46,大黄 香附,大黄,寒,苦,"脾,胃,大肠,肝,心包",香附,平,"辛,苦,甘","肝,脾,三焦"
47,黄连 木香,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
48,苦参 木香,苦参,寒,苦,"心,肝,胃,大肠,膀胱",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
49,黄连 枳壳,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",枳壳,寒,"苦,辛,酸","脾,胃"
50,苦参 枳壳,苦参,寒,苦,"心,肝,胃,大肠,膀胱",枳壳,寒,"苦,辛,酸","脾,胃"
51,黄芩 枳壳,黄芩,寒,苦,"肺,胆,脾,大肠,小肠",枳壳,寒,"苦,辛,酸","脾,胃"
52,陈皮 砂仁,陈皮,温,"苦,辛","肺,脾",砂仁,温,辛,"脾,胃,肾"
53,陈皮 升麻,陈皮,温,"苦,辛","肺,脾",升麻,寒,"辛,甘","肺,脾,胃,大肠"
54,桔梗 枳壳,桔梗,平,"苦,辛",肺,枳壳,寒,"苦,辛,酸","脾,胃"
55,柴胡 青皮,柴胡,寒,"辛,苦","肝,胆,肺",青皮,温,"苦,辛","肝,胆,胃"
56,沉香 小茴香,沉香,温,"辛,苦","脾,胃,肾",小茴香,温,辛,"肝,肾,脾,胃"
57,丹参 檀香,丹参,寒,苦,"心,肝",檀香,温,辛,"脾,胃,心,肺"
58,川芎 香附,川芎,温,辛,"肝,胆,心包",香附,平,"辛,苦,甘","肝,脾,三焦"
59,陈皮 番泻叶,陈皮,温,"苦,辛","肺,脾",番泻叶,寒,"甘,苦",大肠
60,白术 陈皮,白术,温,"苦,甘","脾,胃",陈皮,温,"苦,辛","肺,脾"
61,丹参 香附,丹参,寒,苦,"心,肝",香附,平,"辛,苦,甘","肝,脾,三焦"
62,苍术 陈皮,苍术,温,"辛,苦","脾,胃,肝",陈皮,温,"苦,辛","肺,脾"
63,黄柏 薤白,黄柏,寒,苦,"肾,膀胱",薤白,温,"辛,苦","心,肺,胃,大肠"
127,紫苏梗 香附,紫苏梗,温,辛,"肺,脾",香附,平,"辛,苦,甘","肝,脾,三焦"
128,香附 檀香,香附,平,"辛,苦,甘","肝,脾,三焦",檀香,温,辛,"脾,胃,心,肺"
129,陈皮 半夏,陈皮,温,"苦,辛","肺,脾",半夏,温,辛,"脾,胃,肺"
130,木香 陈皮,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",陈皮,温,"苦,辛","肺,脾"
131,香附 艾叶,香附,平,"辛,苦,甘","肝,脾,三焦",艾叶,温,"辛,苦","肝,脾,肾"
132,香附 当归,香附,平,"辛,苦,甘","肝,脾,三焦",当归,温,"甘,辛","肝,心,脾"
133,生姜 陈皮,生姜,温,辛,"肺,脾,胃",陈皮,温,"苦,辛","肺,脾"
134,延胡索 香附,延胡索,温,"辛,苦","肝,脾",香附,平,"辛,苦,甘","肝,脾,三焦"
135,香附 川楝子,香附,平,"辛,苦,甘","肝,脾,三焦",川楝子,寒,苦,"肝,小肠,膀胱"
136,桑白皮 陈皮,桑白皮,寒,甘,肺,陈皮,温,"苦,辛","肺,脾"
137,竹茹 陈皮,竹茹,寒,甘,"脾,肺,胃,心,胆",陈皮,温,"苦,辛","肺,脾"
138,香附 白芍,香附,平,"辛,苦,甘","肝,脾,三焦",白芍,寒,"苦,酸","肝,脾"
139,薤白 瓜蒌,薤白,温,"辛,苦","心,肺,胃,大肠",瓜蒌,寒,"甘,苦","肺,胃,大肠"
140,青皮 陈皮,青皮,温,"苦,辛","肝,胆,胃",陈皮,温,"苦,辛","肺,脾"
141,小茴香 川楝子,小茴香,温,辛,"肝,肾,脾,胃",川楝子,寒,苦,"肝,小肠,膀胱"
142,香附 木香,香附,平,"辛,苦,甘","肝,脾,三焦",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
143,香附 乌药,香附,平,"辛,苦,甘","肝,脾,三焦",乌药,温,辛,"肺,脾,肾,膀胱"
144,延胡索 川楝子,延胡索,温,"辛,苦","肝,脾",川楝子,寒,苦,"肝,小肠,膀胱"
145,乌药 木香,乌药,温,辛,"肺,脾,肾,膀胱",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
146,木香 沉香,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",沉香,温,"辛,苦","脾,胃,肾"
147,乌药 沉香,乌药,温,辛,"肺,脾,肾,膀胱",沉香,温,"辛,苦","脾,胃,肾"
148,枳壳 郁金,枳壳,寒,"苦,辛,酸","脾,胃",郁金,寒,"辛,苦","肝,心,肺"
149,丁香 沉香,丁香,温,辛,"脾,胃,肺,肾",沉香,温,"辛,苦","脾,胃,肾"
150,木香 大黄,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",大黄,寒,苦,"脾,胃,大肠,肝,心包"
151,木香 槟榔,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",槟榔,温,"苦,辛","胃,大肠"
152,香附 黄连,香附,平,"辛,苦,甘","肝,脾,三焦",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
153,香附 沉香,香附,平,"辛,苦,甘","肝,脾,三焦",沉香,温,"辛,苦","脾,胃,肾"
154,木香 木瓜,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",木瓜,温,酸,"肝,脾"
155,木香 莱菔子,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",莱菔子,平,"辛,甘","肺,脾,胃"
156,枳壳 香附,枳壳,寒,"苦,辛,酸","脾,胃",香附,平,"辛,苦,甘","肝,脾,三焦"
157,枳壳 木香,枳壳,寒,"苦,辛,酸","脾,胃",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
158,香橼 砂仁,香橼,温,"辛,苦,酸","肝,脾,肺",砂仁,温,辛,"脾,胃,肾"
159,枳壳 陈皮,枳壳,寒,"苦,辛,酸","脾,胃",陈皮,温,"苦,辛","肺,脾"
160,香附 赤芍,香附,平,"辛,苦,甘","肝,脾,三焦",赤芍,寒,苦,肝
161,香附 蒲黄,香附,平,"辛,苦,甘","肝,脾,三焦",蒲黄,平,甘,"肝,心包"
162,香附 天南星,香附,平,"辛,苦,甘","肝,脾,三焦",天南星,温,"苦,辛","肺,肝,脾"
163,枳壳 天南星,枳壳,寒,"苦,辛,酸","脾,胃",天南星,温,"苦,辛","肺,肝,脾"
164,枳壳 瓜蒌,枳壳,寒,"苦,辛,酸","脾,胃",瓜蒌,寒,"甘,苦","肺,胃,大肠"
165,枳壳 乳香,枳壳,寒,"苦,辛,酸","脾,胃",乳香,温,"辛,苦","心,肝,脾"
166,枳壳 川芎,枳壳,寒,"苦,辛,酸","脾,胃",川芎,温,辛,"肝,胆,心包"
167,枳壳 生地黄,枳壳,寒,"苦,辛,酸","脾,胃",生地黄,寒,甘,"心,肝,肾"
168,乌药 天冬,乌药,温,辛,"肺,脾,肾,膀胱",天冬,寒,"甘,苦","肺,肾"
169,木香 附子,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",附子,热,"辛,甘","心,肾,脾"
170,陈皮 槟榔,陈皮,温,"苦,辛","肺,脾",槟榔,温,"苦,辛","胃,大肠"
171,木香 茯苓,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",茯苓,平,"甘,","心,肺,脾,肾"
172,香附 夏枯草,香附,平,"辛,苦,甘","肝,脾,三焦",夏枯草,寒,"辛,苦","肝,胆"
173,香附 大黄,香附,平,"辛,苦,甘","肝,脾,三焦",大黄,寒,苦,"脾,胃,大肠,肝,心包"
174,木香 黄连,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
175,木香 苦参,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",苦参,寒,苦,"心,肝,胃,大肠,膀胱"
176,枳壳 黄连,枳壳,寒,"苦,辛,酸","脾,胃",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
177,枳壳 苦参,枳壳,寒,"苦,辛,酸","脾,胃",苦参,寒,苦,"心,肝,胃,大肠,膀胱"
178,枳壳 黄芩,枳壳,寒,"苦,辛,酸","脾,胃",黄芩,寒,苦,"肺,胆,脾,大肠,小肠"
179,砂仁 陈皮,砂仁,温,辛,"脾,胃,肾",陈皮,温,"苦,辛","肺,脾"
180,升麻 陈皮,升麻,寒,"辛,甘","肺,脾,胃,大肠",陈皮,温,"苦,辛","肺,脾"
181,枳壳 桔梗,枳壳,寒,"苦,辛,酸","脾,胃",桔梗,平,"苦,辛",肺
182,青皮 柴胡,青皮,温,"苦,辛","肝,胆,胃",柴胡,寒,"辛,苦","肝,胆,肺"
183,小茴香 沉香,小茴香,温,辛,"肝,肾,脾,胃",沉香,温,"辛,苦","脾,胃,肾"
184,檀香 丹参,檀香,温,辛,"脾,胃,心,肺",丹参,寒,苦,"心,肝"
185,香附 川芎,香附,平,"辛,苦,甘","肝,脾,三焦",川芎,温,辛,"肝,胆,心包"
186,番泻叶 陈皮,番泻叶,寒,"甘,苦",大肠,陈皮,温,"苦,辛","肺,脾"
187,陈皮 白术,陈皮,温,"苦,辛","肺,脾",白术,温,"苦,甘","脾,胃"
188,香附 丹参,香附,平,"辛,苦,甘","肝,脾,三焦",丹参,寒,苦,"心,肝"
189,陈皮 苍术,陈皮,温,"苦,辛","肺,脾",苍术,温,"辛,苦","脾,胃,肝"
190,薤白 黄柏,薤白,温,"辛,苦","心,肺,胃,大肠",黄柏,寒,苦,"肾,膀胱"
