排名,成分名称,出现次数,包含中药数量,中药列表
1,"(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol(222284)",438,432,艾叶; 暗紫贝母; 八角莲; 巴豆; 巴戟天; 白扁豆; 白附子; 白果; 白花丹; 白花蛇舌草; 白芥子; 白蔹; 白毛藤; 白毛夏枯草; 白茅根; 白前; 白芍; 白术; 白头翁; 白薇; 白药子; 白芷; 百部; 百合; 柏子仁; 败酱草; 板蓝根; 半边莲; 半夏; 半枝莲; 薄荷; 北刘寄奴; 北马兜铃根; 北沙参; 贝加尔唐松草; 荜茇; 萹蓄; 布渣叶; 苍耳子; 苍术; 草苁蓉; 草果; 草乌叶; 侧柏叶; 柴胡; 蟾酥; 常山; 车前; 车前草; 车前子; 沉香; 陈皮; 茺蔚子; 臭梧桐; 臭梧桐根; 除虫菊; 楮实子; 川贝母; 川藏香茶菜; 川楝子; 川木通; 川牛膝; 川射干; 川芎; 垂盆草; 椿皮; 刺五加; 葱白; 粗叶悬钩子; 醋柳果; 大车前; 大黄; 大蓟; 大青叶; 大血藤; 大枣; 大皂荚; 丹参; 单叶蔓荆; 淡豆豉; 党参; 刀豆; 地不容; 地耳草; 地骨皮; 地锦草; 地梢瓜; 地榆; 灯心草; 滇黄芩; 滇南红厚壳; 丁香; 东北刺人参; 东风橘根; 冬虫夏草; 冬瓜皮; 冬瓜子; 冬葵果; 独活; 独一味; 杜仲; 杜仲叶; 断血流; 多刺绿绒蒿; 鹅不食草; 鹅绒藤; 儿茶; 耳草; 番荔枝; 番泻叶; 翻白草; 防风; 防己; 风轮菜; 蜂斗菜; 凤尾草; 凤眼草; 浮萍; 附子; 甘草; 甘松; 甘遂; 干地黄; 干姜; 功劳木; 钩藤; 枸杞子; 谷精草; 骨碎补; 关木通; 贯叶金丝桃; 贯众; 广防己; 广枣; 鬼臼; 桂枝; 海风藤; 海金沙; 含羞草; 何首乌; 荷叶; 黑大豆; 黑豆; 红参; 红花; 红芪; 厚朴; 葫芦巴; 葫芦茶; 槲寄生; 虎杖; 花椒; 花生衣; 华东蓝刺头; 华钩藤; 化橘红; 槐花; 黄甘草; 黄花败酱; 黄花蒿; 黄精; 黄芪; 黄芩; 茴香; 火麻仁; 火焰花; 鸡骨草; 鸡血藤; 积雪草; 急性子; 蒺藜; 夹竹桃; 僵蚕; 降香; 金沸草; 金果榄; 金莲花; 金钱草; 金荞麦; 金银花; 金樱子; 锦灯笼; 京大戟; 荆芥; 荆芥穗; 韭菜子; 菊花; 菊苣; 橘红; 橘皮; 决明子; 开口箭; 苦杏仁; 苦玄参; 款冬花; 辣椒; 莱菔子; 老鹳草; 了哥王根; 雷公藤; 雷丸; 荔枝核; 连钱草; 连翘; 莲子心; 两面针; 两头尖; 辽细辛; 蓼大青叶; 灵芝; 凌霄花; 零陵香; 刘寄奴; 琉璃草; 六棱菊; 龙葵; 龙血树; 漏芦; 芦荟; 庐山石韦; 鹿衔草; 路边青; 路路通; 罗汉果; 裸花紫珠; 络石藤; 落花生; 绿豆; 麻风树; 麻黄; 麻黄根; 马鞭草; 马勃; 马齿苋; 马兜铃; 麦芽; 满山红; 蔓荆子; 蔓性千斤拔; 猫爪草; 没药; 玫瑰花; 梅花; 蒙古黄芪; 绵萆薢; 绵毛马兜铃; 明党参; 墨旱莲; 牡丹皮; 牡荆叶; 木蝴蝶; 木槿皮; 木棉花; 木通; 木香; 木贼; 南丹参; 南瓜; 南瓜子; 南沙参; 牛蒡子; 牛膝; 佩兰; 蓬莪术; 枇杷叶; 啤酒花; 平贝母; 蒲公英; 蒲黄; 蒲桃; 千金子; 千年健; 牵牛子; 前胡; 茜草; 羌活; 荞麦; 秦艽; 秦皮; 青黛; 青果; 青蒿; 青叶胆; 拳参; 人参叶; 肉苁蓉; 肉豆蔻; 乳香; 蕤仁; 三棱; 三七; 三七花; 桑寄生; 桑椹; 桑叶; 桑枝; 沙棘; 沙苑子; 砂仁; 山慈菇; 山豆根; 山苦荬; 山药; 山楂叶; 山茱萸; 蛇床子; 射干; 伸筋草; 升麻; 生地黄; 生姜; 圣地红景天; 石榴皮; 石南藤; 石上柏; 柿蒂; 柿叶; 熟地黄; 水飞蓟; 水红花子; 四齿四棱草; 四季青; 松节; 娑罗子; 台湾芙蓉; 台湾哥纳香; 台湾筋骨草; 台湾蒲公英; 台湾绣线菊; 太子参; 桃仁; 天冬; 天葵子; 天麻; 天南星; 天山雪莲; 天仙藤; 天竺黄; 铁线透骨草; 葶苈子; 通草; 土贝母; 土鳖虫; 土茯苓; 土荆皮; 菟丝子; 瓦松; 威灵仙; 委陵菜; 乌梅; 乌梢蛇; 乌药; 无叶白前; 吴茱萸; 五加皮; 西河柳; 西洋参; 豨莶草; 狭叶香蒲; 夏枯草; 夏天无; 仙鹤草; 仙茅; 显齿蛇葡萄; 腺梗豨莶; 相思子; 香附; 香薷; 小花盾叶薯蓣; 小茴香; 小蓟; 小麦; 小叶贯众; 小叶九里香; 缬草; 薤白; 新疆蓝刺头; 兴安升麻; 徐长卿; 续断; 玄参; 玄明粉; 旋覆花; 鸦胆子; 鸭跖草; 亚麻子; 芫花; 杨梅树皮; 野姜; 野菊花; 一枝黄花; 异株荨麻; 益智; 薏苡仁; 茵陈; 茵陈蒿; 银柴胡; 银杏叶; 余甘子; 鱼腥草; 禹州漏芦; 玉米须; 玉蜀黍; 郁金; 预知子; 月季花; 云南甘草; 云芝; 皂角刺; 泽漆; 泽泻; 窄叶半枫荷; 长春花; 长叶天名精; 掌叶半夏; 胀果甘草; 浙贝母; 知母; 栀子; 枳壳; 炙黄芪; 肿节风; 猪牙皂; 紫草; 紫花地丁; 紫花前胡; 紫苏; 紫苏叶; 紫苏子; 紫菀; 苦丁茶; 萆薢
2,hexadecanoic acid(985),300,297,艾叶; 八角莲; 巴豆; 巴戟天; 白扁豆; 白附子; 白果; 白蔹; 白茅根; 白前; 白芍; 白术; 白薇; 白芷; 柏子仁; 败酱草; 板蓝根; 半边莲; 半夏; 半枝莲; 薄荷; 萹蓄; 鳖甲; 槟榔; 布渣叶; 苍耳子; 苍术; 草豆蔻; 草乌; 侧柏叶; 柴胡; 常山; 车前草; 沉香; 陈皮; 除虫菊; 楮实子; 川贝母; 川楝子; 川木通; 川木香; 川牛膝; 川射干; 川乌; 川芎; 垂盆草; 醋柳果; 大车前; 大果大戟; 大蓟; 大青叶; 大枣; 丹参; 党参; 地耳草; 地肤子; 地骨皮; 地锦草; 地龙; 丁公藤; 丁香; 冬虫夏草; 冬葵果; 独活; 独一味; 杜仲; 杜仲叶; 鹅不食草; 番泻叶; 翻白草; 防风; 防己; 榧子; 蜂房; 蜂蜡; 蜂蜜; 凤尾草; 佛手; 茯苓; 茯苓皮; 浮萍; 附子; 甘松; 甘遂; 干地黄; 干姜; 功劳木; 枸杞子; 谷精草; 光叶丁公藤; 广枣; 鬼臼; 鬼针草; 桂枝; 蛤蚧; 海金沙; 海龙; 海马; 诃子; 荷叶; 核桃仁; 黑豆; 红参; 红花; 红毛七; 厚朴; 胡椒; 槲寄生; 虎耳草; 花椒; 华东蓝刺头; 化橘红; 槐角; 黄芪; 黄芩; 火麻仁; 鸡冠花; 积雪草; 夹竹桃; 僵蚕; 降香; 芥子; 金莲花; 金荞麦; 金银花; 金樱子; 荆芥; 荆芥穗; 韭菜子; 桔梗; 菊花; 菊苣; 橘核; 开口箭; 苦杏仁; 款冬花; 昆布; 辣椒; 莱菔子; 雷公藤; 荔枝核; 连钱草; 连翘; 灵芝; 羚羊角; 零陵香; 龙葵; 龙脷叶; 漏芦; 芦荟; 罗汉果; 络石藤; 麻风树; 麻黄; 马鞭草; 马勃; 马齿苋; 马兜铃; 满山红; 蔓性千斤拔; 猫爪草; 毛诃子; 没药; 梅花; 绵萆薢; 明党参; 木瓜; 木蝴蝶; 木棉花; 木香; 墓头回; 南瓜子; 闹羊花; 牛蒡子; 牛膝; 佩兰; 蓬莪术; 枇杷叶; 平贝母; 蒲公英; 蒲黄; 蒲桃; 七叶树; 千金子; 千里光; 千年健; 千日红; 牵牛子; 前胡; 芡实; 茜草; 羌活; 荞麦; 秦皮; 青果; 青蒿; 瞿麦; 全蝎; 人参叶; 肉桂; 乳香; 蕤仁; 三白草; 三尖杉; 三棱; 三七; 桑螵蛸; 桑椹; 桑叶; 桑枝; 沙棘; 沙苑子; 砂仁; 山药; 山茱萸; 商陆; 蛇床子; 射干; 伸筋草; 升麻; 生姜; 石菖蒲; 使君子; 柿叶; 树舌; 水飞蓟; 水红花子; 四季青; 松节; 苏合香; 娑罗子; 锁阳; 太子参; 檀香; 桃枝; 天冬; 天花粉; 天葵子; 天麻; 天南星; 天仙子; 甜瓜子; 葶苈子; 土贝母; 土茯苓; 王不留行; 威灵仙; 乌梅; 乌药; 无花果; 吴茱萸; 梧桐子; 西河柳; 西红花; 西洋参; 细辛; 夏枯草; 仙茅; 显齿蛇葡萄; 香薷; 小茴香; 小叶黑柴胡; 薤白; 杏仁; 徐长卿; 玄参; 鸦胆子; 亚麻子; 芫花; 益母草; 益智; 薏苡仁; 银柴胡; 银杏叶; 余甘子; 鱼腥草; 禹州漏芦; 玉米须; 玉竹; 郁金; 预知子; 月季花; 云芝; 皂角刺; 泽漆; 樟木; 榛蘑; 知母; 炙红芪; 肿节风; 紫草; 紫花地丁; 紫苏; 紫苏子; 紫菀; 棕榈; 萆薢
3,"(2R,3R,4S,5S,6R)-2-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol(5742590)",293,283,八角莲; 白附子; 白果; 白花蛇舌草; 白蔹; 白毛藤; 白毛夏枯草; 白茅根; 白前; 白芍; 白术; 白头翁; 白薇; 白药子; 白芷; 百部; 百合; 柏子仁; 败酱草; 板蓝根; 半边莲; 半夏; 半枝莲; 薄荷; 北豆根; 北马兜铃根; 北沙参; 补骨脂; 布渣叶; 苍耳子; 苍术; 草苁蓉; 草果; 常山; 车前子; 沉香; 臭梧桐; 臭梧桐根; 楮实子; 川贝母; 川藏香茶菜; 川木通; 川牛膝; 川射干; 川芎; 垂盆草; 椿皮; 刺五加; 葱白; 粗叶悬钩子; 催吐萝芙木; 大风子; 大黄; 大血藤; 大枣; 丹参; 单叶蔓荆; 地耳草; 地肤子; 地骨皮; 地锦草; 地梢瓜; 地榆; 灯心草; 滇南红厚壳; 东北刺人参; 冬葵果; 独活; 莪术; 鹅不食草; 鹅绒藤; 翻白草; 防风; 蜂斗菜; 凤尾草; 凤眼草; 茯苓; 浮萍; 附子; 干地黄; 干姜; 钩藤; 枸杞子; 骨碎补; 贯众; 广枣; 鬼臼; 桂枝; 海金沙; 海桐皮; 何首乌; 荷叶; 红花; 红芪; 厚朴; 胡萝卜子; 葫芦巴; 葫芦茶; 槲寄生; 虎杖; 花生衣; 华东蓝刺头; 华钩藤; 华山参; 化橘红; 槐花; 黄花败酱; 黄精; 黄芪; 黄芩; 火焰花; 鸡骨草; 鸡血藤; 蒺藜; 僵蚕; 金沸草; 金果榄; 金莲花; 金钱草; 金荞麦; 金雀根; 金银花; 金樱子; 锦灯笼; 京大戟; 荆芥; 菊花; 菊苣; 橘红; 卷柏; 开口箭; 苦豆子; 苦杏仁; 苦玄参; 款冬花; 莱菔子; 雷公藤; 荔枝核; 连钱草; 连翘; 莲子心; 两面针; 两头尖; 凌霄花; 零陵香; 琉璃草; 龙葵; 漏芦; 路路通; 罗汉果; 裸花紫珠; 麻风树; 麻黄; 麻黄根; 马鞭草; 马勃; 马兜铃; 麦芽; 蔓荆子; 蔓性千斤拔; 毛白杨; 没药; 玫瑰花; 梅花; 明党参; 牡荆叶; 木棉花; 木通; 木通根; 南鹤虱; 南沙参; 牛蒡子; 牛膝; 胖大海; 枇杷叶; 蒲黄; 千金子; 千年健; 牵牛子; 前胡; 茜草; 羌活; 荞麦; 秦艽; 秦皮; 青皮; 轻粉; 瞿麦; 人参叶; 肉苁蓉; 肉豆蔻; 蕤仁; 三棱; 三七; 三七花; 桑椹; 桑叶; 桑枝; 沙棘; 沙苑子; 砂仁; 山慈菇; 山矾根; 山楂叶; 山茱萸; 蛇葡萄; 射干; 伸筋草; 升麻; 生地黄; 圣地红景天; 石南藤; 石上柏; 柿蒂; 柿叶; 熟地黄; 水红花子; 水栀; 四齿四棱草; 四季青; 酸枣仁; 太子参; 桃仁; 天冬; 天葵子; 天麻; 天南星; 天山雪莲; 天仙藤; 葶苈子; 通草; 土贝母; 土茯苓; 土荆皮; 菟丝子; 瓦松; 王不留行; 委陵菜; 乌药; 无叶白前; 吴茱萸; 五加皮; 西河柳; 西洋参; 豨莶草; 夏枯草; 仙茅; 腺梗豨莶; 香茶菜; 香附; 香青兰; 香薷; 香唐松草; 小茴香; 薤白; 新疆蓝刺头; 续断; 玄参; 旋覆花; 鸦胆子; 鸭跖草; 亚麻子; 芫花; 野菊花; 异株荨麻; 益智; 银杏叶; 余甘子; 禹州漏芦; 郁金; 预知子; 月季花; 皂角刺; 泽漆; 掌叶半夏; 栀子; 肿节风; 猪胆粉; 苎麻根; 追风七; 紫花前胡; 紫菀; 苦丁茶
4,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one(5280343)",242,242,矮地茶; 艾叶; 八角茴香; 八角莲; 白扁豆; 白果; 白花蛇舌草; 白蔹; 败酱草; 板蓝根; 半边莲; 半夏; 半枝莲; 北沙参; 蓖麻子; 萹蓄; 扁桃; 布渣叶; 苍耳子; 草果; 侧柏叶; 柴胡; 车前子; 沉香; 秤杆升麻; 川八角莲; 川楝子; 川牛膝; 垂盆草; 椿皮; 刺五加; 醋柳果; 大白顶草; 大风子; 大花红景天; 大蓟; 大金钱草; 大枣; 大皂荚; 丹参; 地耳草; 地肤子; 地锦草; 地梢瓜; 地榆; 灯心草; 丁香; 冬葵果; 豆蔻; 独一味; 杜仲; 杜仲叶; 鹅不食草; 儿茶; 翻白草; 蜂胶; 蜂蜜; 凤尾草; 凤眼草; 干姜; 钩藤; 枸杞子; 谷精草; 贯叶金丝桃; 贯叶连翘; 广枣; 鬼臼; 鬼针草; 荷叶; 红车轴草; 红花; 红花龙胆; 红芪; 洪连; 葫芦巴; 虎耳草; 虎杖; 花白蜡树; 花椒; 花生衣; 华钩藤; 槐花; 槐角; 黄海棠; 黄花蒿; 黄连; 黄芪; 黄蜀葵花; 积雪草; 吉祥草; 急性子; 箭叶淫羊藿; 僵蚕; 金沸草; 金莲花; 金钱草; 金荞麦; 金丝梅; 金银花; 金樱子; 荆芥; 菊花; 菊苣; 卷柏; 孔雀草; 苦参; 苦蒿; 宽叶香蒲; 款冬花; 狼杷草; 老鹳草; 老鼠簕; 荔枝核; 连翘; 莲子心; 零陵香; 龙葵; 卢氏冬凌草; 芦根; 芦荟; 鹿衔草; 路边青; 罗布麻; 裸花紫珠; 麻黄; 麻黄根; 马鞭草; 马齿苋; 满山红; 蔓荆子; 蔓性千斤拔; 猫眼草; 玫瑰花; 墨旱莲; 母丁香; 牡丹皮; 木瓜; 木蝴蝶; 木棉花; 木贼; 墓头回; 南方菟丝子; 闹羊花; 牛膝; 女贞子; 枇杷叶; 蒲公英; 蒲黄; 七叶树; 千里光; 前胡; 青果; 青蒿; 拳参; 人参叶; 肉苁蓉; 乳香; 蕤仁; 三白草; 桑寄生; 桑椹; 桑叶; 沙棘; 沙苑子; 砂仁; 山豆根; 山莴苣; 山楂叶; 山茱萸; 蛇葡萄; 胜红蓟; 石榴皮; 柿蒂; 柿叶; 水飞蓟; 水红花子; 四季青; 松节; 苏木; 娑罗子; 桃金娘; 天冬; 天山雪莲; 铁线透骨草; 葶苈子; 土茯苓; 菟丝子; 瓦松; 王不留行; 威灵仙; 委陵菜; 乌梅; 乌药; 吴茱萸; 西河柳; 西红花; 喜树; 狭叶香蒲; 夏枯草; 仙鹤草; 仙人掌; 显齿蛇葡萄; 香附; 香薷; 小蓟; 小通草; 小叶黑柴胡; 薤白; 旋覆花; 鸭跖草; 烟草; 芫花; 洋金花; 洋蒲桃叶; 野菊花; 叶下珠; 一枝黄花; 异株荨麻; 益母草; 茵陈; 茵陈蒿; 银杏叶; 迎山红; 油柑叶; 余甘子; 鱼腥草; 禹州漏芦; 郁金; 郁李仁; 元宝草; 月季花; 皂角刺; 泽漆; 窄叶半枫荷; 展萼金丝桃; 照山白; 珍珠梅; 栀子; 中亚沙棘; 肿节风; 紫菀; 苦丁茶
