排名,成分名称,出现次数,包含中药数量,中药列表
5,pentadecanethioic S-acid(18413781),233,233,艾叶; 巴豆; 巴戟天; 白扁豆; 白附子; 白果; 白蔹; 白茅根; 白前; 白术; 白薇; 柏子仁; 败酱草; 板蓝根; 半边莲; 半夏; 半枝莲; 荜茇; 槟榔; 布渣叶; 苍耳子; 草豆蔻; 草乌; 侧柏叶; 柴胡; 常山; 车前草; 沉香; 陈皮; 楮实子; 川贝母; 川楝子; 川木通; 川木香; 川牛膝; 川射干; 川乌; 川芎; 垂盆草; 大果大戟; 大蓟; 大青叶; 大枣; 丹参; 党参; 地耳草; 地肤子; 地骨皮; 地锦草; 丁香; 冬虫夏草; 冬葵果; 独活; 独一味; 杜仲; 杜仲叶; 鹅不食草; 番泻叶; 防风; 防己; 榧子; 蜂蜜; 凤尾草; 佛手; 茯苓; 茯苓皮; 浮萍; 附子; 甘松; 甘遂; 干姜; 功劳木; 枸杞子; 谷精草; 广枣; 鬼针草; 海金沙; 海龙; 诃子; 荷叶; 核桃仁; 黑豆; 红参; 红花; 红毛七; 厚朴; 胡椒; 槲寄生; 虎耳草; 花椒; 化橘红; 黄芪; 黄芩; 火麻仁; 鸡冠花; 积雪草; 荠菜; 僵蚕; 降香; 芥子; 金莲花; 金荞麦; 金樱子; 荆芥穗; 韭菜子; 桔梗; 菊苣; 橘核; 苦杏仁; 昆布; 辣椒; 莱菔子; 荔枝核; 连钱草; 连翘; 龙葵; 龙脷叶; 漏芦; 芦荟; 罗汉果; 络石藤; 麻风树; 马鞭草; 马勃; 马齿苋; 马兜铃; 满山红; 蔓性千斤拔; 猫爪草; 绵萆薢; 明党参; 木瓜; 木蝴蝶; 木棉花; 墓头回; 南瓜子; 牛蒡子; 牛膝; 胖大海; 蓬莪术; 枇杷叶; 平贝母; 蒲公英; 蒲桃; 七叶树; 千里光; 千年健; 千日红; 牵牛子; 前胡; 芡实; 羌活; 苘麻子; 瞿麦; 人参; 人参叶; 肉桂; 乳香; 三白草; 三尖杉; 三棱; 桑椹; 沙苑子; 砂仁; 山茱萸; 商陆; 蛇床子; 伸筋草; 升麻; 使君子; 柿叶; 树舌; 水飞蓟; 水红花子; 四季青; 苏合香; 娑罗子; 锁阳; 太子参; 檀香; 桃枝; 天冬; 天葵子; 天南星; 天仙子; 甜瓜子; 葶苈子; 土贝母; 土茯苓; 王不留行; 威灵仙; 乌梅; 乌药; 无花果; 吴茱萸; 梧桐子; 西河柳; 西红花; 西洋参; 细辛; 夏枯草; 仙茅; 香薷; 小茴香; 小叶黑柴胡; 薤白; 徐长卿; 玄参; 亚麻子; 芫花; 益智; 薏苡仁; 银柴胡; 余甘子; 禹州漏芦; 玉米须; 玉竹; 郁金; 预知子; 月季花; 云芝; 皂角刺; 泽漆; 榛蘑; 炙红芪; 肿节风; 紫草; 紫花地丁; 紫苏; 紫苏子; 紫菀; 棕榈; 萆薢
6,"(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5S)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol(457801)",232,231,艾叶; 暗紫贝母; 八角莲; 巴豆; 巴戟天; 白扁豆; 白附子; 白果; 白花蛇舌草; 白蔹; 白毛夏枯草; 白茅根; 白前; 白芍; 白头翁; 白薇; 白药子; 白芷; 百部; 百合; 败酱草; 板蓝根; 半夏; 半枝莲; 北刘寄奴; 北马兜铃根; 北沙参; 贝加尔唐松草; 补骨脂; 苍耳子; 草苁蓉; 侧柏叶; 柴胡; 蟾酥; 车前; 车前草; 楮实子; 川贝母; 川木通; 川牛膝; 川芎; 垂盆草; 椿皮; 刺五加; 醋柳果; 大车前; 大黄; 大青叶; 大血藤; 丹参; 地耳草; 地骨皮; 地榆; 滇黄芩; 丁香; 冬虫夏草; 冬瓜皮; 冬葵果; 独活; 杜仲; 鹅不食草; 翻白草; 防风; 防己; 浮萍; 甘草; 甘松; 干地黄; 干姜; 功劳木; 钩藤; 枸杞子; 骨碎补; 关黄柏; 贯叶金丝桃; 广防己; 广枣; 桂枝; 海金沙; 何首乌; 黑大豆; 黑豆; 红参; 红花; 红芪; 槲寄生; 虎杖; 花椒; 花生衣; 华东蓝刺头; 化橘红; 槐花; 黄甘草; 黄花蒿; 黄精; 黄芪; 黄芩; 鸡骨草; 鸡血藤; 急性子; 降香; 金沸草; 金莲花; 金银花; 金樱子; 荆芥; 韭菜子; 菊花; 菊苣; 橘皮; 决明子; 款冬花; 荔枝核; 连翘; 两面针; 蓼大青叶; 凌霄花; 漏芦; 芦荟; 庐山石韦; 鹿衔草; 路边青; 路路通; 罗汉果; 麻黄; 麻黄根; 马鞭草; 马勃; 马齿苋; 马兜铃; 麦芽; 满山红; 蔓荆子; 没药; 玫瑰花; 梅花; 蒙古黄芪; 棉花根; 木蝴蝶; 木槿皮; 木棉花; 木通; 木香; 木贼; 牛蒡子; 牛膝; 枇杷叶; 蒲黄; 千金子; 千年健; 牵牛子; 前胡; 茜草; 羌活; 秦皮; 青黛; 青果; 拳参; 肉苁蓉; 肉豆蔻; 蕤仁; 三棱; 三七; 桑叶; 沙棘; 沙苑子; 砂仁; 山慈菇; 山茱萸; 蛇床子; 生姜; 石榴皮; 柿蒂; 水红花子; 四季青; 太子参; 桃仁; 天冬; 天麻; 天南星; 葶苈子; 土贝母; 土茯苓; 土荆皮; 菟丝子; 威灵仙; 委陵菜; 乌梅; 乌药; 吴茱萸; 五加皮; 西河柳; 狭叶香蒲; 夏枯草; 仙鹤草; 仙茅; 腺梗豨莶; 香附; 香薷; 小茴香; 小麦; 小叶贯众; 薤白; 新疆蓝刺头; 续断; 萱草根; 玄参; 旋覆花; 血余炭; 鸭跖草; 亚麻子; 野菊花; 茵陈; 永宁独活; 余甘子; 禹州漏芦; 郁金; 预知子; 月季花; 云芝; 皂角刺; 泽漆; 浙贝母; 栀子; 枳壳; 肿节风; 紫花前胡; 紫苏; 紫苏子; 紫菀; 苦丁茶
7,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-olate(46906036)",226,226,矮地茶; 艾叶; 八角莲; 白扁豆; 白果; 白蔹; 败酱草; 板蓝根; 半边莲; 半夏; 半枝莲; 北沙参; 蓖麻子; 萹蓄; 扁桃; 布渣叶; 苍耳子; 草果; 侧柏叶; 柴胡; 车前子; 沉香; 秤杆升麻; 川八角莲; 川楝子; 川牛膝; 垂盆草; 椿皮; 刺五加; 醋柳果; 大白顶草; 大风子; 大花红景天; 大金钱草; 大枣; 大皂荚; 丹参; 地耳草; 地肤子; 地锦草; 地梢瓜; 地榆; 灯心草; 丁香; 冬葵果; 豆蔻; 独一味; 杜仲; 杜仲叶; 鹅不食草; 儿茶; 翻白草; 蜂胶; 凤尾草; 凤眼草; 干姜; 钩藤; 枸杞子; 谷精草; 关黄柏; 贯叶金丝桃; 贯叶连翘; 广枣; 鬼臼; 鬼针草; 荷叶; 红车轴草; 红花; 红花龙胆; 红芪; 洪连; 葫芦巴; 虎耳草; 虎杖; 花白蜡树; 花椒; 花生衣; 华钩藤; 槐花; 槐角; 黄海棠; 黄花蒿; 黄连; 黄芪; 黄蜀葵花; 积雪草; 吉祥草; 急性子; 箭叶淫羊藿; 金沸草; 金莲花; 金钱草; 金荞麦; 金丝梅; 金樱子; 菊苣; 卷柏; 孔雀草; 苦参; 苦蒿; 宽叶香蒲; 狼杷草; 老鹳草; 老鼠簕; 荔枝核; 连钱草; 连翘; 莲子心; 龙葵; 卢氏冬凌草; 芦根; 芦荟; 鹿衔草; 路边青; 罗布麻; 麻黄根; 马鞭草; 马齿苋; 满山红; 蔓荆子; 蔓性千斤拔; 猫眼草; 玫瑰花; 墨旱莲; 母丁香; 牡丹皮; 木瓜; 木蝴蝶; 木棉花; 木贼; 墓头回; 南方菟丝子; 闹羊花; 牛膝; 女贞子; 枇杷叶; 蒲公英; 蒲黄; 千里光; 前胡; 青蒿; 拳参; 人参叶; 肉苁蓉; 乳香; 蕤仁; 三白草; 三七; 桑寄生; 桑椹; 桑叶; 沙苑子; 砂仁; 山豆根; 山莴苣; 山楂叶; 山茱萸; 蛇葡萄; 胜红蓟; 石榴皮; 柿蒂; 柿叶; 水飞蓟; 水红花子; 四季青; 松节; 苏木; 娑罗子; 桃金娘; 天冬; 天山雪莲; 铁线透骨草; 葶苈子; 土茯苓; 瓦松; 王不留行; 威灵仙; 委陵菜; 乌梅; 乌药; 吴茱萸; 西河柳; 西红花; 喜树; 狭叶香蒲; 夏枯草; 仙鹤草; 仙人掌; 显齿蛇葡萄; 香附; 香薷; 小蓟; 小通草; 小叶黑柴胡; 薤白; 旋覆花; 鸭跖草; 烟草; 芫花; 洋金花; 洋蒲桃叶; 野菊花; 叶下珠; 异株荨麻; 茵陈; 茵陈蒿; 迎山红; 油柑叶; 余甘子; 鱼腥草; 禹州漏芦; 郁李仁; 元宝草; 月季花; 皂角刺; 泽漆; 窄叶半枫荷; 展萼金丝桃; 照山白; 珍珠梅; 栀子; 中亚沙棘; 肿节风; 苎麻根; 紫菀; 苦丁茶
8,"16-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol(53399246)",202,202,艾叶; 八角莲; 巴豆; 巴戟天; 白附子; 白果; 白蔹; 白毛藤; 白毛夏枯草; 白茅根; 白前; 白芍; 白术; 白头翁; 白薇; 白药子; 百部; 百合; 败酱草; 板蓝根; 半夏; 半枝莲; 北刘寄奴; 北沙参; 布渣叶; 苍耳子; 苍术; 草苁蓉; 草果; 侧柏叶; 沉香; 陈皮; 茺蔚子; 楮实子; 川贝母; 川木通; 川牛膝; 川射干; 垂盆草; 椿皮; 大黄; 大青叶; 大血藤; 大枣; 大皂荚; 地耳草; 地骨皮; 地榆; 丁香; 冬虫夏草; 冬葵果; 独活; 杜仲; 鹅不食草; 儿茶; 翻白草; 防风; 防己; 凤尾草; 凤眼草; 浮萍; 干姜; 功劳木; 钩藤; 枸杞子; 谷精草; 骨碎补; 关黄柏; 关木通; 贯叶金丝桃; 广枣; 海风藤; 海金沙; 黑豆; 红参; 红花; 红芪; 葫芦茶; 槲寄生; 虎杖; 花椒; 花生衣; 化橘红; 槐花; 黄精; 黄芪; 黄芩; 鸡骨草; 鸡血藤; 急性子; 降香; 金沸草; 金莲花; 金樱子; 锦灯笼; 韭菜子; 菊苣; 橘红; 决明子; 了哥王根; 荔枝核; 连钱草; 连翘; 莲子心; 两面针; 蓼大青叶; 凌霄花; 刘寄奴; 漏芦; 鹿衔草; 路路通; 罗汉果; 麻黄根; 马鞭草; 马勃; 马齿苋; 马兜铃; 麦芽; 满山红; 蔓荆子; 猫爪草; 玫瑰花; 木蝴蝶; 木棉花; 木通; 木贼; 南沙参; 牛蒡子; 牛膝; 胖大海; 枇杷叶; 千年健; 牵牛子; 前胡; 羌活; 秦艽; 秦皮; 青黛; 拳参; 肉苁蓉; 肉豆蔻; 蕤仁; 三棱; 沙苑子; 砂仁; 山慈菇; 山豆根; 山苦荬; 山茱萸; 蛇床子; 石榴皮; 柿蒂; 熟地黄; 水红花子; 四季青; 太子参; 桃仁; 天冬; 天南星; 天山雪莲; 葶苈子; 土贝母; 土茯苓; 瓦松; 威灵仙; 委陵菜; 乌梅; 乌药; 吴茱萸; 西河柳; 西洋参; 豨莶草; 夏枯草; 仙茅; 香附; 香薷; 小茴香; 薤白; 续断; 玄参; 鸦胆子; 亚麻子; 野菊花; 茵陈; 余甘子; 禹州漏芦; 郁金; 预知子; 月季花; 云芝; 皂角刺; 泽漆; 浙贝母; 栀子; 炙黄芪; 肿节风; 苎麻根; 紫花前胡; 紫苏; 紫苏子; 紫菀; 苦丁茶
9,"(3S,8S,9S,10R,13R,14S,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol(5280794)",198,191,艾叶; 白扁豆; 白附子; 白果; 白花蛇舌草; 白蔹; 白茅根; 白头翁; 白芷; 百部; 百合; 败酱草; 板蓝根; 半夏; 半枝莲; 北沙参; 萹蓄; 扁豆; 补骨脂; 苍耳子; 柴胡; 常山; 朝鲜白头翁; 车前; 车前草; 陈皮; 齿瓣延胡索; 臭梧桐; 川党参; 川楝子; 川木通; 川射干; 川乌; 椿皮; 醋柳果; 大车前; 大蓟; 大枣; 大皂荚; 淡豆豉; 党参; 刀豆; 地肤子; 地骨皮; 丁香; 东风橘根; 冬虫夏草; 冬瓜子; 毒扁豆; 鹅不食草; 儿茶; 耳草; 番泻叶; 榧子; 凤尾草; 浮萍; 甘蔗; 干地黄; 枸杞子; 骨碎补; 关黄柏; 关木通; 海风藤; 海桐皮; 含羞草; 鹤虱; 黑大豆; 黑豆; 红花; 红毛七; 红芪; 葫芦茶; 黄花败酱; 黄花蒿; 黄花远志; 黄芩; 茴香; 火麻仁; 鸡骨草; 鸡冠花; 鸡血藤; 吉祥草; 急性子; 假酸浆; 姜黄; 金银花; 荆芥; 荆芥穗; 粳米; 决明子; 开口箭; 苦石莲; 苦杏仁; 款冬花; 榔榆皮; 了哥王根; 雷公藤; 雷丸; 荔枝核; 零陵香; 龙葵; 龙眼叶; 芦根; 芦竹根; 路边青; 络石藤; 落花生; 麻风树; 麻黄; 马鞭草; 麦冬; 蔓荆子; 猫爪草; 绵萆薢; 绵毛马兜铃; 棉花根; 明党参; 墨旱莲; 木蝴蝶; 木棉花; 木通; 木香; 牛膝; 佩兰; 铺地蜈蚣; 千金子; 青蒿; 球花党参; 三棱; 三钻风; 桑叶; 沙棘; 砂仁; 山慈菇; 山豆根; 山莴苣; 山药; 山楂叶; 山茱萸; 蛇床子; 射干; 伸筋草; 升麻; 生姜; 胜红蓟; 使君子; 柿叶; 熟地黄; 水飞蓟; 水团花; 四季青; 松蕈; 台湾芙蓉; 台湾哥纳香; 台湾筋骨草; 台湾蒲公英; 桃金娘; 天冬; 天南星; 通草; 土茯苓; 王不留行; 威灵仙; 乌梅; 豨莶草; 夏枯草; 仙茅; 相思子; 香茶菜; 香附; 小花盾叶薯蓣; 小茴香; 小蓟; 鸭跖草; 亚麻子; 羊角藤; 洋蓍草; 益智; 薏苡仁; 银柴胡; 银杏叶; 罂粟; 玉米须; 玉蜀黍; 预知子; 皂角刺; 知母; 栀子; 猪牙皂; 紫苏子; 萆薢
10,octadecanoic acid(5281),186,185,暗紫贝母; 八角莲; 巴豆; 巴戟天; 白扁豆; 白果; 白芍; 白薇; 白芷; 柏子仁; 斑纹芦荟; 板蓝根; 半边莲; 半夏; 半枝莲; 薄荷; 萹蓄; 槟榔; 补骨脂; 苍耳子; 侧柏叶; 柴胡; 沉香; 陈皮; 楮实子; 川贝母; 川楝子; 川乌; 川芎; 刺五加; 葱白; 醋柳果; 大青叶; 大枣; 丹参; 党参; 地肤子; 地骨皮; 地锦草; 地龙; 灯心草; 冬虫夏草; 冬葵果; 独活; 杜仲; 番泻叶; 防风; 防己; 榧子; 蜂房; 茯苓; 甘松; 干地黄; 干姜; 贯叶金丝桃; 广金钱草; 广枣; 龟甲; 桂枝; 蛤蚧; 海金沙; 海龙; 诃子; 诃子叶; 荷叶; 黑豆; 红花; 红芪; 葫芦巴; 虎耳草; 黄芩; 火麻仁; 鸡骨草; 芥子; 金莲花; 金樱子; 荆芥; 荆芥穗; 韭菜子; 桔梗; 菊苣; 橘核; 决明子; 苦杏仁; 款冬花; 辣椒; 莱菔子; 雷公藤; 荔枝核; 连翘; 羚羊角; 芦荟; 罗汉果; 麻黄; 马鞭草; 马勃; 马齿苋; 满山红; 蔓荆子; 猫爪草; 梅花; 木瓜; 木蝴蝶; 木通; 南瓜; 南瓜子; 牛蒡子; 牛膝; 蒲公英; 蒲黄; 蒲桃; 七叶树; 千金子; 牵牛子; 前胡; 羌活; 荞麦; 全蝎; 肉苁蓉; 肉桂; 三尖杉; 桑椹; 桑叶; 沙棘; 沙苑子; 砂仁; 山茱萸; 商陆; 伸筋草; 石上柏; 使君子; 双边栝楼; 水飞蓟; 水流豆; 松节; 苏木; 娑罗子; 太子参; 天葵子; 天南星; 天仙子; 天竺黄; 甜瓜子; 葶苈子; 土茯苓; 王不留行; 威灵仙; 乌梅; 乌药; 无花果; 吴茱萸; 五加皮; 西河柳; 西红花; 西洋参; 细辛; 夏枯草; 仙茅; 香薷; 薤白; 杏仁; 徐长卿; 鸦胆子; 亚麻子; 薏苡仁; 茵陈蒿; 银杏叶; 永宁独活; 余甘子; 鱼腥草; 玉米须; 郁金; 月季花; 皂角刺; 泽泻; 知母; 栀子; 炙红芪; 紫花地丁; 紫苏; 紫苏梗; 紫苏叶; 紫苏子; 棕榈; 穿山甲
